round_idx_interleaved,SakkirinaSolo,Sakkirina,HQL_Plus_BOT,BestMCTS3,EBot_C,EBot_F,MCTS_MMHVR,NAgent,Council Of Two,ZMyBot,MaltheMCTS
1,71.25,80.0,66.25,60.0,63.75,55.0,46.25,43.75,21.25,20.0,22.5
2,70.0,78.75,67.5,64.375,61.875,50.625,48.125,45.0,22.5,21.25,20.0
3,71.25,79.16666666666667,69.16666666666667,63.333333333333336,61.666666666666664,47.916666666666664,47.916666666666664,46.666666666666664,22.083333333333332,21.666666666666668,19.166666666666668
4,70.3125,77.1875,67.8125,65.0,58.125,50.3125,48.4375,49.0625,21.875,20.3125,21.5625
5,70.5,76.0,68.5,64.0,56.5,51.0,49.25,49.5,22.25,21.0,21.5
6,70.0,75.0,70.0,64.79166666666667,55.833333333333336,50.833333333333336,48.958333333333336,51.25,21.25,20.416666666666668,21.666666666666668
7,69.28571428571429,74.28571428571429,70.0,65.17857142857143,55.892857142857146,51.25,48.57142857142857,50.892857142857146,22.321428571428573,20.714285714285715,21.607142857142858
8,68.90625,74.0625,70.0,65.3125,55.78125,51.25,49.6875,51.09375,22.03125,20.46875,21.40625
9,69.16666666666667,74.16666666666667,69.16666666666667,65.13888888888889,56.666666666666664,50.833333333333336,50.416666666666664,50.55555555555556,22.5,20.27777777777778,21.11111111111111
10,69.125,73.875,68.5,65.375,56.5,51.125,50.75,50.625,22.625,20.75,20.75
11,69.88636363636364,73.06818181818181,68.75,65.56818181818181,56.13636363636363,51.25,51.47727272727273,50.68181818181818,22.613636363636363,20.227272727272727,20.34090909090909
12,70.41666666666667,72.08333333333333,68.33333333333333,65.625,56.25,51.458333333333336,51.458333333333336,50.520833333333336,22.8125,20.729166666666668,20.3125
13,70.76923076923077,71.4423076923077,68.17307692307692,65.67307692307692,55.57692307692308,51.25,52.11538461538461,49.90384615384615,23.365384615384617,20.673076923076923,21.057692307692307
14,70.89285714285714,70.89285714285714,68.57142857142857,65.44642857142857,55.535714285714285,51.517857142857146,51.69642857142857,50.357142857142854,23.660714285714285,20.892857142857142,20.535714285714285
15,71.08333333333333,70.83333333333333,68.5,65.66666666666667,55.666666666666664,51.333333333333336,51.333333333333336,50.833333333333336,23.583333333333332,21.083333333333332,20.083333333333332
16,71.484375,71.09375,68.125,65.3125,55.78125,50.9375,51.171875,51.015625,23.984375,20.9375,20.15625
17,71.61764705882354,70.80882352941177,68.38235294117646,65.29411764705883,55.80882352941177,51.10294117647059,50.51470588235294,51.61764705882353,24.264705882352942,20.66176470588235,19.926470588235293
18,71.38888888888889,70.90277777777777,68.47222222222223,65.48611111111111,56.111111111111114,51.041666666666664,50.625,51.388888888888886,24.51388888888889,20.48611111111111,19.583333333333332
19,71.3157894736842,70.78947368421052,68.6842105263158,65.52631578947368,56.31578947368421,51.18421052631579,50.6578947368421,51.25,24.342105263157894,20.263157894736842,19.67105263157895
20,71.375,71.0,69.0625,65.6875,56.0,51.0625,50.625,51.125,24.1875,20.375,19.5
21,71.25,70.89285714285714,69.4047619047619,65.47619047619048,56.07142857142857,51.30952380952381,50.773809523809526,50.833333333333336,24.166666666666668,20.535714285714285,19.285714285714285
22,70.9659090909091,70.9659090909091,69.54545454545455,65.22727272727273,55.96590909090909,51.36363636363637,50.68181818181818,50.73863636363637,24.147727272727273,20.738636363636363,19.65909090909091
23,71.08695652173913,71.25,69.67391304347827,65.27173913043478,55.76086956521739,51.358695652173914,50.32608695652174,51.03260869565217,24.23913043478261,20.434782608695652,19.565217391304348
24,71.25,70.83333333333333,69.79166666666667,65.46875,55.9375,51.25,50.625,51.09375,23.90625,20.364583333333332,19.479166666666668
25,71.15,70.7,69.8,65.55,55.9,51.2,50.6,51.3,23.7,20.45,19.65
26,71.10576923076923,70.625,69.75961538461539,65.48076923076923,56.15384615384615,51.05769230769231,50.48076923076923,51.44230769230769,23.798076923076923,20.48076923076923,19.615384615384617
27,71.20370370370371,70.87962962962963,69.76851851851852,65.50925925925925,55.925925925925924,51.2962962962963,50.46296296296296,51.157407407407405,23.703703703703702,20.462962962962962,19.62962962962963
28,71.11607142857143,70.71428571428571,69.91071428571429,65.40178571428571,56.11607142857143,50.982142857142854,50.892857142857146,51.339285714285715,23.482142857142858,20.446428571428573,19.598214285714285
29,70.94827586206897,70.60344827586206,69.95689655172414,65.43103448275862,56.16379310344828,51.077586206896555,50.94827586206897,51.37931034482759,23.362068965517242,20.646551724137932,19.482758620689655
30,70.83333333333333,71.0,69.75,65.5,56.375,50.875,50.833333333333336,50.916666666666664,23.291666666666668,21.0,19.625
31,70.64516129032258,71.37096774193549,69.79838709677419,65.64516129032258,56.29032258064516,50.806451612903224,50.92741935483871,50.846774193548384,23.306451612903224,21.048387096774192,19.31451612903226
32,70.625,71.484375,69.6875,65.7421875,56.25,50.8203125,50.9765625,50.78125,23.2421875,21.0546875,19.3359375
33,70.83333333333333,71.43939393939394,69.62121212121212,65.68181818181819,56.21212121212121,50.833333333333336,51.21212121212121,50.56818181818182,23.181818181818183,21.136363636363637,19.28030303030303
34,70.99264705882354,71.47058823529412,69.5220588235294,65.80882352941177,56.029411764705884,50.919117647058826,51.06617647058823,50.661764705882355,23.08823529411765,21.139705882352942,19.301470588235293
35,71.07142857142857,71.25,69.28571428571429,66.03571428571429,56.0,51.035714285714285,50.892857142857146,50.67857142857143,23.071428571428573,21.285714285714285,19.392857142857142
36,71.07638888888889,71.18055555555556,69.23611111111111,66.21527777777777,55.97222222222222,51.18055555555556,50.90277777777778,50.38194444444444,23.229166666666668,21.319444444444443,19.305555555555557
37,71.04729729729729,71.08108108108108,69.29054054054055,66.21621621621621,56.148648648648646,51.28378378378378,50.91216216216216,50.236486486486484,23.277027027027028,21.35135135135135,19.155405405405407
38,71.08552631578948,71.05263157894737,69.40789473684211,66.01973684210526,56.05263157894737,51.48026315789474,50.55921052631579,50.23026315789474,23.32236842105263,21.414473684210527,19.375
39,71.12179487179488,71.08974358974359,69.26282051282051,65.99358974358974,55.96153846153846,51.41025641025641,50.64102564102564,50.3525641025641,23.333333333333332,21.442307692307693,19.391025641025642
40,71.1875,71.21875,69.21875,65.90625,56.03125,51.15625,50.84375,50.46875,23.3125,21.34375,19.3125
41,71.4939024390244,71.21951219512195,69.08536585365853,65.79268292682927,55.94512195121951,51.09756097560975,50.823170731707314,50.548780487804876,23.23170731707317,21.341463414634145,19.420731707317074
42,71.54761904761905,71.16071428571429,68.95833333333333,65.71428571428571,56.07142857142857,51.041666666666664,51.041666666666664,50.535714285714285,23.154761904761905,21.398809523809526,19.375
43,71.65697674418605,71.01744186046511,68.86627906976744,65.69767441860465,56.04651162790697,51.16279069767442,51.04651162790697,50.52325581395349,23.28488372093023,21.337209302325583,19.36046511627907
44,71.73295454545455,70.99431818181819,68.89204545454545,65.79545454545455,55.99431818181818,51.13636363636363,51.10795454545455,50.34090909090909,23.210227272727273,21.420454545454547,19.375
45,71.63888888888889,71.11111111111111,68.94444444444444,65.80555555555556,56.02777777777778,51.30555555555556,51.02777777777778,50.333333333333336,23.194444444444443,21.416666666666668,19.194444444444443
46,71.6304347826087,71.08695652173913,68.88586956521739,65.84239130434783,55.95108695652174,51.358695652173914,51.141304347826086,50.48913043478261,23.152173913043477,21.440217391304348,19.02173913043478
47,71.70212765957447,70.93085106382979,68.90957446808511,65.74468085106383,55.851063829787236,51.62234042553192,51.170212765957444,50.53191489361702,23.19148936170213,21.382978723404257,18.96276595744681
48,71.640625,70.9375,69.01041666666667,65.78125,55.885416666666664,51.666666666666664,51.145833333333336,50.46875,23.072916666666668,21.484375,18.90625
49,71.68367346938776,70.89285714285714,69.10714285714286,65.68877551020408,55.765306122448976,51.785714285714285,51.07142857142857,50.61224489795919,23.035714285714285,21.505102040816325,18.852040816326532
50,71.75,70.875,68.925,65.775,55.825,51.775,51.225,50.625,23.025,21.5,18.7
51,71.6421568627451,70.98039215686275,68.87254901960785,65.88235294117646,55.68627450980392,51.838235294117645,51.25,50.51470588235294,23.112745098039216,21.519607843137255,18.70098039215686
52,71.5625,70.96153846153847,68.9423076923077,65.88065447545718,55.79326923076923,51.85096153846154,51.22714148219442,50.48076923076923,23.245192307692307,21.514423076923077,18.557692307692307
53,71.58018867924528,70.87264150943396,68.93867924528301,66.02927289896128,55.990566037735846,51.79245283018868,51.25118035882908,50.471698113207545,23.20754716981132,21.367924528301888,18.514150943396228
54,71.73611111111111,70.90277777777777,69.05092592592592,65.98702502316961,55.879629629629626,51.666666666666664,51.22798887859129,50.601851851851855,23.125,21.319444444444443,18.51851851851852
55,71.72727272727273,70.9090909090909,69.04545454545455,65.9690627843494,55.68181818181818,51.65909090909091,51.31938125568699,50.59090909090909,23.181818181818183,21.34090909090909,18.59090909090909
56,71.78571428571429,70.84821428571429,69.10714285714286,65.9964253798034,55.669642857142854,51.71875,51.34048257372654,50.60267857142857,23.125,21.316964285714285,18.504464285714285
57,71.8201754385965,70.81140350877193,69.14473684210526,66.00087796312555,55.6578947368421,51.666666666666664,51.42669007901668,50.6578947368421,23.07017543859649,21.337719298245613,18.42105263157895
58,71.78879310344827,70.6896551724138,69.20258620689656,66.04831751509923,55.883620689655174,51.78879310344828,51.31578947368421,50.560344827586206,23.038793103448278,21.336206896551722,18.362068965517242
59,71.65254237288136,70.86864406779661,69.30084745762711,65.98812553011027,55.78389830508475,51.779661016949156,51.35708227311281,50.48728813559322,23.029661016949152,21.35593220338983,18.411016949152543
60,71.64583333333333,70.83333333333333,69.29166666666667,65.99249374478732,55.75,51.833333333333336,51.43869891576313,50.479166666666664,23.041666666666668,21.270833333333332,18.4375
61,71.57786885245902,70.86065573770492,69.32377049180327,66.01722723543888,55.799180327868854,51.76229508196721,51.43560295324036,50.51229508196721,23.09426229508197,21.25,18.381147540983605
62,71.47177419354838,70.84677419354838,69.375,66.04116222760291,55.86693548387097,51.75403225806452,51.39225181598063,50.524193548387096,23.125,21.18951612903226,18.427419354838708
63,71.48809523809524,70.83333333333333,69.22619047619048,66.12390786338364,55.992063492063494,51.76587301587302,51.37013502779984,50.535714285714285,23.075396825396826,21.23015873015873,18.373015873015873
64,71.5625,70.80078125,69.21875,66.0086004691165,56.015625,51.81640625,51.40734949179046,50.48828125,23.06640625,21.19140625,18.4375
65,71.57692307692308,70.78846153846153,69.25,65.9545804464973,56.01923076923077,51.92307692307692,51.34719014626636,50.38461538461539,23.057692307692307,21.153846153846153,18.557692307692307
66,71.68560606060606,70.70075757575758,69.20454545454545,66.0538286580743,55.946969696969695,51.96969696969697,51.34571645185747,50.39772727272727,23.049242424242426,21.174242424242426,18.484848484848484
67,71.69776119402985,70.63432835820896,69.16044776119404,66.03808812546677,55.98880597014925,51.84701492537314,51.493651979088874,50.42910447761194,23.078358208955223,21.119402985074625,18.526119402985074
68,71.76470588235294,70.58823529411765,69.2095588235294,66.02281089036056,56.06617647058823,51.8014705882353,51.58204562178072,50.349264705882355,22.959558823529413,21.121323529411764,18.547794117647058
69,71.77536231884058,70.59782608695652,69.2572463768116,66.06236403190718,56.10507246376812,51.79347826086956,51.4140681653372,50.36231884057971,22.971014492753625,21.159420289855074,18.514492753623188
70,71.75,70.58928571428571,69.33928571428571,66.13652609006434,56.160714285714285,51.80357142857143,51.34024303073624,50.26804860614725,22.980700500357397,21.160714285714285,18.464285714285715
72,71.67019027484143,70.54577464788733,69.24295774647888,66.13812544045102,56.16197183098591,51.98943661971831,51.35658914728682,50.246826516220025,23.003533568904594,21.103667136812412,18.433098591549296
