round_idx,__host,__host_ord,round_idx_interleaved
0,hostA,0,1
1,hostA,0,3
10,hostA,0,21
11,hostA,0,23
12,hostA,0,25
13,hostA,0,27
14,hostA,0,29
15,hostA,0,31
16,hostA,0,33
17,hostA,0,35
18,hostA,0,37
19,hostA,0,39
2,hostA,0,5
20,hostA,0,41
21,hostA,0,43
22,hostA,0,45
23,hostA,0,47
24,hostA,0,49
25,hostA,0,51
26,hostA,0,53
27,hostA,0,55
28,hostA,0,57
29,hostA,0,59
3,hostA,0,7
30,hostA,0,61
31,hostA,0,63
32,hostA,0,65
33,hostA,0,67
34,hostA,0,69
4,hostA,0,9
5,hostA,0,11
6,hostA,0,13
7,hostA,0,15
8,hostA,0,17
9,hostA,0,19
0,hostB,1,2
1,hostB,1,4
10,hostB,1,22
11,hostB,1,24
12,hostB,1,26
13,hostB,1,28
14,hostB,1,30
15,hostB,1,32
16,hostB,1,34
17,hostB,1,36
18,hostB,1,38
19,hostB,1,40
2,hostB,1,6
20,hostB,1,42
21,hostB,1,44
22,hostB,1,46
23,hostB,1,48
24,hostB,1,50
25,hostB,1,52
26,hostB,1,54
27,hostB,1,56
28,hostB,1,58
29,hostB,1,60
3,hostB,1,8
30,hostB,1,62
31,hostB,1,64
32,hostB,1,66
33,hostB,1,68
34,hostB,1,70
35,hostB,1,72
4,hostB,1,10
5,hostB,1,12
6,hostB,1,14
7,hostB,1,16
8,hostB,1,18
9,hostB,1,20
